City,All industry total (in thousands),  Private industries,"    Agriculture, forestry, fishing and hunting","    Mining, quarrying, and oil and gas extraction",    Utilities,    Construction,    Manufacturing,      Durable goods manufacturing,      Nondurable goods manufacturing,    Wholesale trade,    Retail trade,    Transportation and warehousing,    Information,"    Finance, insurance, real estate, rental, and leasing",      Finance and insurance,      Real estate and rental and leasing,    Professional and business services,"      Professional, scientific, and technical services",      Management of companies and enterprises,      Administrative and support and waste management and remediation services,"    Educational services, health care, and social assistance",      Educational services,      Health care and social assistance,"    Arts, entertainment, recreation, accommodation, and food services","      Arts, entertainment, and recreation",      Accommodation and food services,    Other services (except government and government enterprises),Government and government enterprises,Natural resources and mining,Trade,Transportation and utilities,Manufacturing and information,Private goods-producing industries 2/,Private services-providing industries 3/,Personal income (thousands of dollars),  Net earnings by place of residence,  Personal current transfer receipts,    Income maintenance benefits 1/,    Unemployment insurance compensation,    Retirement and other,"  Dividends, interest, and rent 2/",  Population (persons) 3/,  Per capita personal income 4/,  Per capita net earnings 4/,  Per capita personal current transfer receipts 4/,    Per capita income maintenance benefits 4/,    Per capita unemployment insurance compensation 4/,    Per capita retirement and other 4/,"  Per capita dividends, interest, and rent 4/",  Earnings by place of work,    Wages and salaries,    Supplements to wages and salaries,      Employer contributions for employee pension and insurance funds 5/,      Employer contributions for government social insurance,    Proprietors' income,      Farm proprietors' income,      Nonfarm proprietors' income,Total employment (number of jobs),  Wage and salary employment,  Proprietors employment,    Farm proprietors employment 6/,    Nonfarm proprietors employment,Average earnings per job (dollars),  Average wages and salaries,  Average nonfarm proprietors' income,Total MLB Teams,Total MLB Team Value (dollars thousands),Total team revenue (dollars thousands),Home Games MLB,Reg Season wins MLB,Home Wins MLB,World Series Title,Division Title MLB,Attendance MLB,Attendace per Game MLB,Payroll MLB (dollars),NFL Teams,NFL Team Value (Thousands,NFL Team Revenue,NFL Team Purchased,NFL Team relocated,NBA Team Numbers,NBA Team Value,NBA Team Revenue,Large Market,Medium Market,Small Market,No Teams,NFL Super Bowl Winner,NFL Division Champion,NFL Playoff Participants,NFL Win Percentage,NFL Wins,NFL Home Attendance,Average Attendance Per Game,Year
Minneapolis,183483486,165666536,354963,119292,(D),9114320,24526918,(D),(D),(D),9658521,(D),8132330,39540379,18957657,20582723,27578741,(D),(D),(D),14495209,(D),(D),5860519,1719255,4141264,(D),17816951,474255,(D),(D),32659248,34115493,131551042,152544928,105824751,16397624,1548348,444372,14404904,30322553,3254350,46874,32518,5039,476,137,4426,9318,121740432,92420456,19905544,13043164,6862380,9414432,119276,9295156,2303992,1890349,413643,11659,401984,52839,48891,23123,1,288000,131000,81,79,41,0,0,2296383,28350.40741,71439500,1,782000,182000,0,0,1,308000,103000,0,1,0,0,0,0,0,0.5,8,506046,63255.75,2007
Nashville,76218753,69478412,123433,268861,(D),(D),(D),(D),(D),(D),6039939,(D),(D),11508684,(D),(D),(D),(D),(D),(D),9418481,(D),(D),4767677,(D),(D),(D),6740340,392295,(D),(D),14125456,14306945,55171467,61852087,44996624,7885695,843069,118136,6924490,8969768,1567875,39450,28699,5030,538,75,4416,5721,51615036,35154133,7427028,4975102,2451926,9033875,-109700,9143575,1072095,830756,241339,13718,227621,48144,42316,40170,0,0,0,0,0,0,0,0,0,0,0,1,922000,196000,0,0,0,0,0,0,0,1,0,0,0,1,0.625,10,553144,69143,2007
NYC,1197487881,1081627251,(D),417333,(D),42488881,(D),(D),(D),(D),57929103,(D),91668407,362514315,185657273,176857042,179805215,116261262,(D),(D),94725208,16112769,78612439,41474652,15649600,25825051,24937240,115860630,(D),(D),(D),(D),(D),(D),1008722284,661973793,135969413,14348026,2708147,118913240,210779078,18572325,54313,35643,7321,773,146,6403,11349,770187829,570843801,117196533,79354993,37841540,82147495,46705,82100790,11017676,8809250,2208426,4984,2203442,69905,64800,37260,2,1936000,519000,162,182,93,0,0,8125038,50154.55556,323220708,2,1941000,388000,0,0,2,946000,298000,1,0,0,0,1,0,1,0.4375,14,1246703,77918.9375,2007
Providence,67156018,57558886,(D),44528,(D),3539943,7249545,5340839,1908707,3795149,4473883,1177813,2251852,15079564,4729419,10350146,6698319,3273887,1726494,1697937,7789586,1460619,6328967,2460986,540585,1920401,1622809,9597132,(D),8269032,(D),9501397,(D),(D),64373291,42061409,11371811,1152304,389105,9830402,10940071,1602603,40168,26246,7096,719,243,6134,6826,42525836,30426622,7781570,5399888,2381682,4317644,5423,4312221,898480,738061,160419,1623,158796,47331,41225,27156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2007
San Fran,314416640,282673548,(D),534718,(D),14307705,43319850,(D),(D),(D),17611839,(D),20910974,69568590,25738792,43829798,54141745,37513414,7155312,9473019,18750470,2759123,15991347,11621586,3564528,8057058,6637994,31743092,(D),(D),(D),64230825,(D),(D),263546667,176996525,22316560,2452509,479781,19384270,64233582,4183637,62995,42307,5334,586,115,4633,15354,197934051,140641496,29709068,20464754,9244314,27583487,54379,27529108,2785090,2144377,640713,1433,639280,71069,65586,43063,1,459000,184000,81,71,39,0,0,3223215,39792.77778,90219056,1,799000,186000,0,0,1,309000,103000,1,0,0,0,0,0,0,0.3125,5,544226,68028.25,2007
Seattle,228724825,203861470,790406,221593,369575,12036248,35218673,30537333,4681340,13954163,14516518,6947625,30473560,37693210,10920834,26772376,26699254,17029436,3267577,6402241,12372213,1254769,11117444,8099853,2302691,5797162,4468579,24863355,1011999,28470680,7317200,65692233,48266921,155594549,169749555,114845170,15962100,1503011,386597,14072492,38942285,3304467,51370,34755,4830,455,117,4259,11785,134357894,97482073,21817018,13442877,8374141,15058803,20433,15038370,2252591,1839054,413537,4466,409071,59646,53007,36762,1,436000,182000,82,88,49,0,0,2672223,32588.08537,106460833,1,921000,196000,0,0,1,269000,81000,0,1,0,0,0,1,1,0.625,10,545551,68193.875,2007
Tampa Bay,116299441,104208528,(D),181553,(D),7019161,7577126,5150432,2426694,(D),9370226,(D),6012834,27610444,8539933,19070512,16144471,8628601,1766842,5749028,9922735,858539,9064196,5165472,1223616,3941857,2811699,12090913,(D),(D),(D),13589960,(D),(D),102490200,63047929,17329185,1383452,178835,15766898,22113086,2726780,37587,23122,6355,507,66,5782,8110,70918984,53860528,11654760,7905902,3748858,5403696,53968,5349728,1608915,1311098,297817,4150,293667,44079,41080,18217,1,267000,134000,81,66,37,0,0,1387603,17130.90123,24623500,1,963000,205000,0,0,0,0,0,0,1,0,0,0,1,1,0.5625,9,522530,65316.25,2007
Tucson,35186668,28829671,5383,733941,242950,1936557,4238986,3949577,289409,1068828,2511827,647182,1151554,7302382,1394485,5907897,3496875,2130362,202504,1164009,3233754,213849,3019905,1397268,197474,1199794,862184,6356997,739324,3580655,890133,5390540,6914867,21914804,32971148,19308790,5961504,475758,45526,5440220,7700854,955869,34493,20200,6237,498,48,5691,8056,21849962,15808724,3763263,2604230,1159033,2277975,-1352,2279327,504656,402963,101693,540,101153,43297,39231,22533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2007
Vegas,95001286,86392018,5606,93144,1566871,10524493,3295540,2453271,842269,3530786,6475565,3106142,2122721,20244579,5139272,15105307,9869842,4592739,2440557,2836546,4324369,295834,4028535,19658846,3274482,16384364,1573513,8609268,98750,10006351,4673013,5418261,13918783,72473234,74654336,50342771,7867799,758193,243185,6866421,16443766,1867817,39969,26953,4212,406,130,3676,8804,56924318,42064458,8826442,5849118,2977324,6033418,661,6032757,1174103,961458,212645,164,212481,48483,43751,28392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2007
Virginia Beach,81553485,57818586,(D),(D),548803,(D),(D),(D),(D),(D),5185761,(D),(D),13897599,(D),(D),7789402,(D),(D),(D),5108129,(D),(D),(D),(D),(D),(D),23734899,160450,(D),(D),11687006,11591197,46227389,66835395,44760042,8351724,984955,106445,7260324,13723629,1700315,39308,26325,4912,579,63,4270,8071,50264527,36609829,9428738,6669385,2759353,4225960,36158,4189802,1056031,902054,153977,1613,152364,47598,40585,27499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2007
Atlanta,267967059,242656292,(D),301940,3258936,(D),22302563,(D),(D),(D),15229840,(D),29115420,50167117,(D),(D),39146618,(D),(D),(D),17380734,(D),(D),(D),(D),(D),5146173,25310767,(D),(D),(D),51417983,35521573,207134719,205537728,145066253,23682047,2866891,688041,20127115,36789428,5170099,39755,28059,4581,555,133,3893,7116,162881839,123528841,24458836,16153292,8305544,14894162,170296,14723866,3206861,2498660,708201,7429,700772,50792,49438,21011,1,497000,199000,81,72,43,0,0,2532834,31269.55556,102365683,1,872000,203000,0,0,1,306000,102000,1,0,0,0,0,0,1,0.6875,11,502813,62851.625,2008
Austin,84875145,73558165,58817,827859,760262,4892502,13396264,12387696,1008568,8617582,4960081,1073354,5982739,11404065,3668077,7735988,11177030,8132206,(D),(D),5112847,557511,4555337,3167283,491491,2675792,2127480,11316979,886676,13577663,1833616,19379003,19175441,54382724,67819889,46734694,6414010,633940,130301,5649769,14671185,1633870,41509,28604,3926,388,80,3458,8979,52195119,38408236,7321728,4895493,2426235,6465155,-35173,6500328,1072058,814819,257239,7852,249387,48687,47137,26065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2008
Boise,23588200,20581137,358197,84040,180396,1412637,3671606,(D),(D),1588292,2032861,(D),(D),3942860,(D),(D),2827465,(D),(D),(D),(D),(D),(D),682759,130281,552478,467867,3007063,442237,3621153,(D),(D),5526480,15054657,20843553,13492768,3057551,264734,115423,2677394,4293234,603218,34554,22368,5069,439,191,4439,7117,15284635,10902835,2595644,1670860,924784,1786156,115931,1670225,373367,286510,86857,4764,82093,40937,38054,20346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2008
Boston,309327698,277881199,(D),101548,4571300,10143241,31931031,22579023,9352008,18179809,12299729,(D),20781544,64829481,24654215,40175266,58162152,42060323,6539425,9562404,35721000,9431050,26289950,9939518,2627770,7311748,5975340,31446499,(D),30479539,(D),52712575,(D),(D),254643531,170991335,31142379,2917974,1237833,26986572,52509817,4483141,56800,38141,6947,651,276,6020,11713,205074314,154431377,31305114,20881737,10423377,19337823,48789,19289034,3150417,2558186,592231,2698,589533,65094,60368,32719,1,816000,263000,81,95,56,0,0,3048250,37632.71605,133390035,1,1324000,282000,0,0,1,447000,149000,0,1,0,0,0,0,0,0.6875,11,550048,68756,2008
Charlotte,121224492,110963641,292598,144313,3213095,5661624,15761361,8380343,7381018,8345825,5874543,(D),5474758,36171715,25786150,10385565,(D),(D),(D),3774594,(D),(D),(D),(D),(D),(D),1964283,10260851,436910,14220368,(D),21236119,21859895,89103746,100148744,73438490,12089097,1254050,390690,10444357,14621157,2178593,45969,33709,5549,576,179,4794,6711,82767421,50040641,10543941,6853477,3690464,22182839,93542,22089297,1322580,1072522,250058,6745,243313,62580,46657,90786,0,0,0,0,0,0,0,0,0,0,0,1,1040000,221000,0,0,1,284000,95000,0,0,1,0,0,1,1,0.75,12,585684,73210.5,2008
Chicago,507624472,458547211,571264,392297,5370143,23450155,60671978,(D),(D),(D),27877712,(D),(D),103548408,41684883,61863525,(D),49350468,(D),(D),42118317,(D),(D),19789914,6066878,13723035,(D),49077261,963561,(D),(D),(D),85085694,373461517,435638196,291598858,54403544,6025733,1966865,46410946,89635794,9384555,46421,31072,5797,642,210,4945,9551,330136829,247369535,55918532,39052426,16866106,26848762,285451,26563311,5715056,4671649,1043407,5941,1037466,57766,52951,25604,2,1085000,407000,163,186,109,0,2,5800848,35588.02454,241535165,1,1064000,226000,0,0,1,504000,165000,1,0,0,0,0,0,0,0.5625,9,496276,62034.5,2008
Cleveland,105551446,94156668,(D),132850,(D),3183237,17014329,(D),(D),(D),5534029,2491245,3485025,24314973,11039591,13275382,12787285,7065494,2498455,3223336,10477654,1489467,8988187,2995752,1008621,1987130,2132284,11394778,(D),(D),(D),20499354,(D),(D),85237664,54201363,15116013,1512978,350421,13252614,15920288,2085110,40879,25994,7250,726,168,6356,7635,65110483,47905754,11354598,7730377,3624221,5850131,19560,5830571,1302283,1080648,221635,2579,219056,49997,44331,26617,1,417000,181000,81,81,45,0,0,2169760,26787.16049,78970,1,1035000,220000,0,0,1,477000,159000,0,0,1,0,0,0,0,0.25,4,582230,72778.75,2008
DC,388395539,299653419,(D),366902,4785500,(D),8803467,(D),(D),12972263,14051735,(D),(D),65740013,(D),(D),(D),(D),(D),(D),24472704,(D),(D),12213196,(D),(D),15234321,88742120,(D),27023999,(D),(D),25166807,274486611,316569272,225814321,24729085,2259419,550580,21919086,66025866,5458415,57997,41370,4530,414,101,4016,12096,265139390,199515967,43219676,29277353,13942323,22403747,-49197,22452944,3901443,3167103,734340,8348,725992,67959,62996,30927,1,460000,153000,80,59,34,0,0,2320400,29005,54961000,1,1538000,327000,0,0,1,353000,118000,1,0,0,0,0,0,0,0.5,8,708835,88604.375,2008
Denver,138683361,123712140,(D),2644205,(D),6762944,10648330,(D),(D),10619429,7366402,(D),13411577,25906477,(D),(D),22733842,14355781,(D),(D),(D),(D),(D),5535743,1595268,3940476,3229810,14971221,(D),17985831,(D),24059907,(D),(D),114692824,80116201,11343381,951966,269734,10121681,23233242,2463971,46548,32515,4604,386,109,4108,9429,91012323,68528375,13290024,8456035,4833989,9193924,-14785,9208709,1683596,1316923,366673,4318,362355,54058,52037,25414,1,371000,169000,81,74,43,0,0,2650218,32718.74074,68655500,1,1061000,226000,0,0,1,329000,112000,0,1,0,0,0,0,0,0.5,8,604074,75509.25,2008
Green Bay,14542475,13082420,(D),22685,(D),589534,2705280,985500,1719780,(D),752927,508343,(D),2717248,1300772,1416476,(D),598586,(D),(D),1351108,(D),(D),597223,293463,303760,(D),1460055,(D),(D),(D),(D),(D),(D),11777070,8016441,1591301,114215,67952,1409134,2169328,302468,38937,26503,5261,378,225,4659,7172,9541024,7050572,1845534,1311662,533872,644918,94234,550684,207798,175129,32669,2825,29844,45915,40259,18452,0,0,0,0,0,0,0,0,0,0,0,1,1023000,218000,0,0,0,0,0,0,0,1,0,0,0,0,0.375,6,565460,70682.5,2008
Houston,334142600,307580309,218699,27127964,5645754,20985042,62522085,(D),(D),28222666,15222262,(D),(D),41415494,12409763,29005731,46503913,31869679,(D),(D),17549148,(D),(D),9221724,(D),(D),6501372,26562291,27346663,43444928,(D),(D),110853790,196726520,268677108,196714836,26293264,3205566,456404,22631294,45669008,5676381,47332,34655,4632,565,80,3987,8045,219664222,149145209,27121811,17900222,9221589,43397202,18565,43378637,3456148,2712903,743245,13257,729988,63558,54976,59424,1,463000,193000,80,86,47,0,0,2779487,34743.5875,87946807,1,1125000,239000,0,0,1,469000,156000,0,1,0,0,0,0,0,0.5,8,563364,70420.5,2008
LA,739857938,667173522,648706,3660174,4580898,23829664,82052125,47640932,34411192,51225498,42694919,18556809,77135198,163386911,33478560,129908352,98509906,64085232,9588853,24835821,48684705,8179260,40505445,35798558,17537356,18261202,16409451,72684416,4308880,93920417,23137706,159187322,110190668,556982853,570696809,371709701,77626061,10738775,2380732,64506554,121361047,12692740,44962,29285,6116,846,188,5082,9561,438362805,313405612,71418569,49531730,21886839,53538624,115440,53423184,7623443,5907200,1716243,1576,1714667,57502,53055,31157,2,1194000,424000,162,184,98,0,2,7067300,43625.30864,237804869,0,0,0,0,0,2,881000,290000,1,0,0,0,0,0,0,0,0,0,0,2008
Louisville,52194504,46668795,(D),93661,516477,2339717,8829835,(D),(D),(D),2973271,(D),(D),8729735,4013853,4715882,5147691,(D),(D),(D),4643388,(D),(D),(D),(D),(D),1207599,5525708,(D),(D),(D),(D),(D),(D),44696100,28533364,7632841,708546,217918,6706377,8529895,1183814,37756,24103,6448,599,184,5665,7205,32996668,24941049,5869919,3997144,1872775,2185700,10648,2175052,739848,612793,127055,6393,120662,44599,40701,18026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2008
Milwaukee,80018974,72512530,(D),83312,1048361,3064062,13260685,(D),(D),6134225,4152120,(D),3399070,16111004,6255362,9855642,10031927,5366784,2151811,2513332,8976548,1586809,7389740,2342631,819615,1523016,1823181,7506444,(D),10286344,(D),16659755,(D),(D),67912556,44991083,9931093,1225646,305222,8400225,12990380,1538232,44150,29249,6456,797,198,5461,8445,53858561,39834752,9760745,6788579,2972166,4263064,17066,4245998,1031665,880766,150899,1711,149188,52205,45227,28461,1,331000,158000,81,90,49,0,0,3068458,37882.19753,80937499,0,0,0,0,0,1,278000,94000,0,0,1,0,0,0,0,0,0,0,0,2008
Minneapolis,185820354,167049394,476750,191632,2126408,7945552,25181685,(D),(D),(D),9597592,(D),8591240,36097205,14921046,21176159,30135325,(D),(D),(D),15427248,1966665,13460583,6052206,1870448,4181758,4251633,18770960,668382,(D),(D),33772925,33795619,133253776,156618474,107458201,18828838,1693293,619732,16515813,30331435,3285969,47663,32702,5730,515,189,5026,9231,123702994,94784833,20782606,13781332,7001274,8135555,192734,7942821,2295814,1878587,417227,11406,405821,53882,50455,19572,1,328000,149000,81,88,53,0,0,2302431,28425.07407,56932766,1,839000,195000,0,0,1,301000,100000,0,1,0,0,0,1,1,0.625,10,506136,63267,2008
Nashville,80412578,72644474,231038,325940,(D),(D),(D),(D),(D),(D),5616273,(D),(D),11870565,(D),(D),9834250,(D),(D),(D),10560587,(D),(D),(D),(D),(D),(D),7768104,556978,(D),(D),14864596,(D),(D),64665001,45962897,9041539,914844,181422,7945273,9660565,1602302,40358,28686,5643,571,113,4959,6029,52760812,35994309,7774296,5230771,2543525,8992207,-45571,9037778,1066093,824670,241423,13280,228143,49490,43647,39615,0,0,0,0,0,0,0,0,0,0,0,1,994000,216000,0,0,0,0,0,0,0,1,0,0,1,1,0.8125,13,553144,69143,2008
NYC,1188487181,1067904898,721840,374407,(D),41764578,68673439,(D),(D),77291664,57517167,(D),95324225,320204239,135001972,185202267,(D),127436628,(D),(D),102327533,17683314,84644218,44963873,17630618,27333255,25281133,120582283,1096247,134808831,(D),163997664,111534263,956370635,1024525568,663671585,148898762,15098175,4095633,129704954,211955221,18672355,54869,35543,7974,809,219,6946,11351,775057204,580640234,120753793,81723160,39030633,73663177,133015,73530162,11117086,8833786,2283300,4837,2278463,69718,65729,32272,2,2130000,562000,162,178,96,0,0,8340700,51485.80247,350080165,2,2348000,427000,0,0,2,808000,306000,1,0,0,0,0,1,1,0.65625,21,1260412,78775.75,2008
Providence,67271735,57457484,(D),45298,(D),3133439,7381841,5472366,1909476,3868529,4278915,1232852,2460466,13682402,3593327,10089075,7167346,3543544,1896577,1727225,8387825,1598296,6789529,2550808,542609,2008199,1573137,9814251,(D),8147443,(D),9842307,(D),(D),66191792,42132543,12784807,1212173,567562,11005072,11274442,1601459,41332,26309,7983,757,354,6872,7040,42868641,30950137,7906950,5503189,2403761,4011554,15337,3996217,886236,724355,161881,1616,160265,48372,42728,24935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2008
San Fran,329144854,296854756,(D),600198,(D),12529329,55391292,12372725,43018567,(D),16352037,(D),20989057,66020215,19739361,46280854,59911550,43054447,7303343,9553760,20757263,3027619,17729644,12357599,3776469,8581130,6764763,32290098,(D),(D),(D),76380349,(D),(D),268415411,177348221,25133771,2518570,863038,21752163,65933419,4243932,63247,41789,5922,593,203,5125,15536,198438905,142405991,30232343,20891379,9340964,25800571,49346,25751225,2785616,2140880,644736,1416,643320,71237,66518,40029,1,494000,197000,81,72,37,0,0,2863837,35356.01235,76594500,1,865000,201000,0,0,1,335000,112000,1,0,0,0,0,0,0,0.4375,7,540103,67512.875,2008
Seattle,235735134,208579939,942699,159307,416371,11011466,33655454,(D),(D),14477376,14627162,7023635,32337388,39185829,10212106,28973723,28194636,18414662,3221978,6557995,13743979,1423748,12320231,8203501,2522529,5680971,4601137,27155194,1102006,29104537,7440006,65992841,45768926,162811013,175757426,117325734,18489819,1715914,662247,16111658,39941873,3355042,52386,34970,5511,511,197,4802,11905,137225766,100446163,23113841,14687111,8426730,13665762,26649,13639113,2272430,1858639,413791,4425,409366,60387,54043,33318,1,466000,194000,81,61,35,0,0,2329702,28761.75309,117666482,1,1010000,215000,0,0,0,0,0,0,1,0,0,0,0,0,0.25,4,543965,67995.625,2008
Tampa Bay,114389181,101954551,325249,263962,1714830,5924689,7246769,4715490,2531279,7822032,8789505,2415446,5969072,26563412,7371556,19191857,15681032,8905823,1837603,4937606,10925753,967146,9958606,5510292,1522008,3988284,2802509,12434630,589211,16611537,4130276,13215841,13760669,88193882,103345293,62243438,19505064,1542440,347258,17615366,21596791,2746981,37621,22659,7101,562,126,6413,7862,69926049,53432747,11919656,8203789,3715867,4573646,33418,4540228,1553818,1255791,298027,4005,294022,45003,42549,15442,1,290000,138000,81,97,57,0,1,1811986,22370.19753,44970597,1,1053000,224000,0,0,0,0,0,0,1,0,0,0,0,0,0.5625,9,516088,64511,2008
Tucson,35739013,28957396,5417,768974,249964,1756227,4054135,3768892,285244,1089557,2389191,669476,1204952,7224012,1139359,6084652,3716072,2263987,231144,1220941,3626410,235566,3390844,1381400,208435,1172965,821609,6781618,774391,3478748,919440,5259087,6584753,22372643,34902314,19709994,6895290,530551,82290,6282449,8297030,967778,36064,20366,7125,548,85,6492,8573,22359555,16200917,4023467,2820695,1202772,2135171,-227,2135398,500711,398246,102465,579,101886,44656,40681,20959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2008
Vegas,92979274,83811560,18484,86919,1537262,8907173,3316750,2514118,802632,3605558,6068162,3309638,2253511,19725750,4794393,14931357,9753270,4852597,2016464,2884208,4784015,343040,4440975,18869580,2969128,15900452,1575488,9167713,105403,9673720,4846900,5570261,12329326,71482234,73300585,47928306,9366115,867247,478581,8020287,16006164,1912349,38330,25063,4898,453,250,4194,8370,54072153,42275963,8854560,6094101,2760459,2941630,2026,2939604,1160263,945570,214693,170,214523,46603,44710,13703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2008
Virginia Beach,82683039,58023379,(D),(D),555485,(D),7482831,(D),(D),(D),5018064,(D),(D),14069950,2246718,11823232,(D),(D),(D),(D),5559388,(D),(D),2861057,(D),(D),1648695,24659661,(D),(D),(D),(D),11128094,46895284,68368745,44818671,9503186,1016919,155783,8330484,14046888,1699574,40227,26371,5592,598,92,4902,8265,50431037,37320974,9707684,6889858,2817826,3402379,42076,3360303,1048115,895442,152673,1597,151076,48116,41679,22242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2008
Atlanta,261817867,235638517,(D),259812,3493392,(D),23053427,(D),(D),(D),14311959,(D),(D),49063369,(D),(D),38046778,(D),(D),9975878,18880406,(D),(D),(D),(D),(D),5083606,26179350,(D),(D),(D),(D),33279996,202358522,199448720,140883963,26307122,3616732,1936181,20754209,32257635,5240828,38057,26882,5020,690,369,3960,6155,157714146,116672913,25306908,17288305,8018603,15734325,152160,15582165,3087160,2352873,734287,7146,727141,51087,49587,21429,1,446000,186000,81,86,40,0,0,2373631,29304.08642,99593166,1,856000,214000,0,0,1,306000,103000,1,0,0,0,0,0,0,0.5625,9,545389,68173.625,2009
Austin,84130319,71985177,62091,699130,795758,4206287,12011098,11082554,928544,8592359,5094966,1076733,5628395,11622858,3976810,7646048,11161764,8183951,(D),(D),5652807,645060,5007747,3186264,528834,2657430,2194666,12145142,761221,13687325,1872491,17639493,16978606,55006570,65884392,45638543,7182736,806738,417826,5958172,13063113,1682338,39162,27128,4269,480,248,3542,7765,51013276,37458396,7526662,5114615,2412047,6028218,-36474,6064692,1068447,796812,271635,7866,263769,47745,47010,22992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2009
Boise,22871131,19777067,189803,58342,188043,1119838,3640271,(D),(D),(D),1904272,(D),(D),3949694,(D),(D),2687185,(D),(D),(D),(D),(D),(D),652176,128962,523213,458413,3094063,248145,(D),(D),(D),5008255,14768813,20137994,13031013,3447913,341978,309849,2796086,3659068,611341,32941,21315,5640,559,507,4574,5985,14692309,10209383,2477920,1578651,899269,2005006,-19802,2024808,353830,266041,87789,4832,82957,41524,38375,24408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2009
Boston,312306078,280229105,(D),105541,4329363,9024380,31483467,(D),(D),17704810,12248333,(D),20058648,69955815,29242843,40712972,55734406,40515964,6382014,8836428,38192206,10336176,27856030,10334824,2840634,7494190,5923795,32076973,(D),29953142,(D),51542115,(D),(D),251395544,171525499,33986592,3358111,2918936,27709545,45883453,4527220,55530,37888,7507,742,645,6121,10135,204627945,147789291,30953916,20622477,10331439,25884738,29327,25855411,3081345,2475684,605661,2684,602977,66409,59696,42880,1,833000,269000,81,95,56,0,0,3062699,37811.09877,125439499,1,1361000,302000,0,0,1,433000,144000,0,1,0,0,0,1,1,0.625,10,540048,67506,2009
